     Orden	Frec.absoluta 	 Frec.normalizada 
   776.	riesgo	   17,271	   113.20
   777.	fácil	   17,205	   112.77
   778.	diferencia	   17,178	   112.59
   779.	cultural	   17,164	   112.50
   780.	libros	   17,146	   112.38
   781.	práctica	   17,142	   112.36
   782.	mayo 	   17,123	   112.23
   783.	nuestras	   17,121	   112.22
   784.	programas 	   17,118	   112.20
   785.	memoria 	   17,083	   111.97
   786.	llegado	   17,052	   111.77
   787.	plazo	   16,976	   111.27
   788.	expresión	   16,966	   111.20
   789.	diciembre	   16,954	   111.13
   790.	mantener 	   16,948	   111.09
   791.	enero	   16,929	   110.96
   792.	volver	   16,898	   110.76
   793.	cuadro 	   16,891	   110.71
   794.	producto	   16,851	   110.45
   795.	produce 	   16,845	   110.41
   796.	europea 	   16,842	   110.39
   797.	conciencia	   16,829	   110.31
   798.	tenían	   16,811	   110.19
   799.	atrás	   16,786	   110.03
   800.	felipe	   16,782	   110.00
   801.	creación	   16,777	   109.97
   802.	chile	   16,768	   109.91
   803.	precio	   16,767	   109.90
   804.	película	   16,761	   109.86
   805.	puerto	   16,749	   109.78
   806.	fuego	   16,685	   109.36
   807.	cuestión	   16,666	   109.24
   808.	pasó 	   16,644	   109.09
   809.	costa	   16,638	   109.05
   810.	supuesto 	   16,637	   109.05
   811.	local	   16,607	   108.85
   812.	habla	   16,597	   108.79
   813.	aspectos 	   16,569	   108.60
   814.	cuba 	   16,565	   108.58
   815.	sala	   16,524	   108.31
   816.	cámara 	   16,523	   108.30
   817.	vuelta	   16,521	   108.29
   818.	vía	   16,508	   108.20
   819.	mirada 	   16,481	   108.03
   820.	mejores 	   16,443	   107.78
   821.	informe	   16,436	   107.73
   822.	unidad	   16,427	   107.67
   823.	distintos	   16,415	   107.59
   824.	suerte	   16,390	   107.43
   825.	tales	   16,386	   107.40
   826.	mira	   16,334	   107.06
   827.	llamado 	   16,312	   106.92
   828.	técnica	   16,308	   106.89
   829.	título	   16,308	   106.89
   830.	s	   16,293	   106.79
   831.	principios	   16,282	   106.72
   832.	octubre	   16,228	   106.37
   833.	volvió	   16,207	   106.23
   834.	período	   16,199	   106.18
   835.	g	   16,194	   106.14
   836.	encontrar	   16,166	   105.96
   837.	democracia 	   16,159	   105.92
   838.	aumento 	   16,145	   105.82
   839.	fútbol	   16,137	   105.77
   840.	prueba 	   16,113	   105.61
   841.	consumo  	   16,095	   105.50
   842.	pese 	   16,043	   105.15
   843.	ocasiones 	   16,026	   105.04
   844.	exterior	   15,988	   104.79
   845.	solución	   15,967	   104.66
   846.	u	   15,967	   104.66
   847.	hija	   15,958	   104.60
   848.	sueño 	   15,944	   104.51
   849.	parís	   15,929	   104.41
   850.	capaz 	   15,925	   104.38
   851.	ocasión 	   15,924	   104.37
   852.	industria	   15,902	   104.23
   853.	adelante	   15,900	   104.22
   854.	salida	   15,899	   104.21
   855.	ciencia	   15,885	   104.12
   856.	asunto 	   15,844	   103.85
   857.	asociación	   15,835	   103.79
   858.	puso 	   15,831	   103.77
   859.	intereses	   15,830	   103.76
   860.	oro	   15,811	   103.63
   861.	podrá	   15,804	   103.59
   862.	pregunta	   15,741	   103.18
   863.	oposición	   15,736	   103.14
   864.	entrar	   15,711	   102.98
   865.	señora 	   15,705	   102.94
   866.	señaló	   15,699	   102.90
   867.	santiago	   15,697	   102.89
   868.	dolor	   15,685	   102.81
   869.	zonas 	   15,679	   102.77
   870.	comercio 	   15,637	   102.49
   871.	operación	   15,633	   102.47
   872.	tribunal	   15,609	   102.31
   873.	instituciones	   15,606	   102.29
   874.	temas 	   15,569	   102.05
   875.	militares	   15,566	   102.03
   876.	junio	   15,555	   101.96
   877.	marco 	   15,548	   101.91
   878.	sectores	   15,541	   101.86
   879.	hacerlo	   15,539	   101.85
   880.	aspecto 	   15,528	   101.78
   881.	razones 	   15,527	   101.77
   882.	contenido	   15,481	   101.47
   883.	juicio	   15,481	   101.47
   884.	electoral	   15,465	   101.37
   885.	considera	   15,460	   101.33
   886.	tendrá	   15,431	   101.14
   887.	mucha  	   15,397	   100.92
   888.	voluntad	   15,394	   100.90
   889.	dicen	   15,383	   100.83
   890.	recuerdo	   15,382	   100.82
   891.	socialista	   15,371	   100.75
   892.	área	   15,369	   100.74
   893.	aparece 	   15,367	   100.72
   894.	vio	   15,334	   100.51
   895.	cama 	   15,328	   100.47
   896.	aun 	   15,317	   100.40
   897.	presenta	   15,315	   100.38
   898.	pp	   15,293	   100.24
   899.	revolución	   15,285	   100.19
   900.	busca 	   15,280	   100.15
   901.	abril	   15,278	   100.14
   902.	rodríguez	   15,272	   100.10
   903.	fiscal	   15,265	   100.06
   904.	lópez	   15,245	    99.92
   905.	victoria	   15,241	    99.90
   906.	violencia	   15,235	    99.86
   907.	primeras	   15,226	    99.80
   908.	pequeña 	   15,214	    99.72
   909.	armas 	   15,153	    99.32
   910.	debía	   15,149	    99.29
   911.	ii	   15,123	    99.12
   912.	esfuerzo	   15,109	    99.03
   913.	humana  	   15,107	    99.02
   914.	posibilidades	   15,090	    98.91
   915.	centros	   15,076	    98.82
   916.	profesional	   15,075	    98.81
   917.	asimismo 	   15,048	    98.63
   918.	grado	   15,048	    98.63
   919.	has 	   15,027	    98.50
   920.	toma 	   15,003	    98.34
   921.	distintas	   14,926	    97.83
   922.	material	   14,915	    97.76
   923.	carne	   14,905	    97.70
   924.	llama	   14,903	    97.68
   925.	particular	   14,876	    97.51
   926.	jorge	   14,867	    97.45
   927.	trabajar	   14,837	    97.25
   928.	propuesta 	   14,830	    97.20
   929.	muerto 	   14,816	    97.11
   930.	precios	   14,809	    97.07
   931.	reforma	   14,779	    96.87
   932.	hermano 	   14,736	    96.59
   933.	corte	   14,735	    96.58
   934.	comenzó  	   14,733	    96.57
   935.	etapa	   14,716	    96.46
   936.	obstante	   14,695	    96.32
   937.	pone 	   14,685	    96.25
   938.	diversos	   14,671	    96.16
   939.	visita	   14,660	    96.09
   940.	concepto 	   14,657	    96.07
   941.	pacientes	   14,637	    95.94
   942.	semanas  	   14,603	    95.72
   943.	tipos	   14,592	    95.64
   944.	solamente 	   14,520	    95.17
   945.	deseo 	   14,499	    95.03
   946.	sistemas 	   14,484	    94.94
   947.	encuentran 	   14,482	    94.92
   948.	siguientes	   14,475	    94.88
   949.	martín	   14,429	    94.58
   950.	suficiente	   14,414	    94.48
   951.	marzo 	   14,408	    94.44
   952.	propios	   14,404	    94.41
   953.	jamás 	   14,371	    94.20
   954.	dan 	   14,364	    94.15
   955.	club	   14,359	    94.12
   956.	instituto	   14,354	    94.08
   957.	constitución	   14,299	    93.72
   958.	curso	   14,290	    93.66
   959.	lenguaje	   14,270	    93.53
   960.	estilo	   14,237	    93.32
   961.	rosa	   14,180	    92.94
   962.	imposible	   14,178	    92.93
   963.	pablo	   14,152	    92.76
   964.	buscar 	   14,151	    92.75
   965.	peor	   14,145	    92.71
   966.	piel	   14,128	    92.60
   967.	arriba	   14,085	    92.32
   968.	generales	   14,073	    92.24
   969.	septiembre 	   14,072	    92.24
   970.	blanca	   14,061	    92.16
   971.	r	   14,041	    92.03
   972.	aquellas	   13,996	    91.74
   973.	teoría	   13,935	    91.34
   974.	animales 	   13,916	    91.21
   975.	hicieron	   13,913	    91.19
   976.	larga	   13,908	    91.16
   977.	perdido	   13,890	    91.04
   978.	imágenes 	   13,887	    91.02
   979.	paciente	   13,885	    91.01
   980.	conseguir	   13,871	    90.92
   981.	máximo  	   13,855	    90.81
   982.	noviembre 	   13,848	    90.77
   983.	j	   13,831	    90.66
   984.	líder	   13,830	    90.65
   985.	hospital	   13,823	    90.60
   986.	diversas	   13,816	    90.56
   987.	rafael	   13,804	    90.48
   988.	vuelve	   13,799	    90.45
   989.	destino	   13,783	    90.34
   990.	torno	   13,781	    90.33
   991.	proyectos 	   13,773	    90.28
   992.	flores	   13,763	    90.21
   993.	niveles	   13,759	    90.18
   994.	afirmó	   13,758	    90.18
   995.	explicó	   13,751	    90.13
   996.	n	   13,748	    90.11
   997.	somos  	   13,727	    89.97
   998.	términos	   13,719	    89.92
   999.	premio 	   13,701	    89.80
  1000.	tercera	   13,694	    89.76
